id;movieid;companyid
1440;181283;1645
1441;181283;9015
1442;283445;2514
1443;283445;3172
1444;283445;7437
1445;283445;7625
1446;283445;8147
1447;283445;69110
1448;283445;69111
1449;64682;79
1450;64682;240
1451;64682;6194
1452;64682;11858
1453;64682;14440
1454;64682;14604
1455;223702;5
1456;223702;2251
1457;223702;5752
1458;223702;13184
1459;223702;16615
1460;223702;46875
1461;2758;4
1462;2758;41
1463;2758;258
1464;863;3
1465;310307;7289
1466;310307;7493
1467;310307;19246
1468;310307;27450
1469;310307;86024
1470;10802;60
1471;10802;183
1472;10802;14723
1473;10144;2
1474;10144;10282
1475;278927;2
1476;278927;3036
1477;278927;7297
1478;278927;20478
1479;5203;10235
1480;11185;559
1481;22804;1632
1482;22804;2061
1483;425;306
1484;425;9383
1485;425;11749
1486;869;306
1487;869;8601
1488;869;20004
1489;271718;33
1490;271718;3341
1491;271718;6452
1492;271718;10105
1493;12155;2
1494;12155;598
1495;12155;8601
1496;12155;16314
1497;12155;20004
1498;23483;1632
1499;23483;5374
1500;290595;33
1501;290595;10338
1502;290595;16314
1503;49018;2514
1504;49018;7437
1505;49018;11341
1506;49018;21742
1507;166424;306
1508;166424;5374
1509;166424;7505
1510;166424;9078
1511;166424;20478
1512;166424;22213
1513;166424;28788
1514;376581;80343
1515;376581;80344
1516;8326;2
1517;8326;2377
1518;8326;10221
1519;8326;11317
1520;319;342
1521;319;3322
1522;319;6194
1523;319;10210
1524;241239;6735
1525;241239;6736
1526;241239;7493
1527;241239;14861
1528;241239;14862
1529;241239;41077
1530;241239;53656
1531;242;4
1532;382591;819
1533;382591;7460
1534;128;14
1535;128;10342
1536;128;12516
1537;128;20192
1538;43074;5
1539;43074;79
1540;43074;4607
1541;43074;34034
1542;43074;61791
1543;43074;84041
1544;43074;84042
1545;714;7576
1546;8005;9
1547;8005;306
1548;8005;5612
1549;8077;306
1550;8077;19747
1551;185;88
1552;185;6194
1553;408647;429
1554;408647;2785
1555;408647;9993
1556;334543;308
1557;334543;7217
1558;334543;7584
1559;334543;13786
1560;334543;50501
1561;324849;2723
1562;324849;2785
1563;324849;6194
1564;324849;8089
1565;324849;9993
1566;324849;77973
1567;324849;85983
1568;36586;12
1569;36586;421
1570;36586;5611
1571;36586;11321
1572;36586;11322
1573;36586;11323
1574;36586;11324
1575;36586;19551
1576;335791;3287
1577;335791;60746
1578;415;1382
1579;415;6194
1580;345009;10400
1581;345009;11565
1582;345009;29223
1583;345009;63809
1584;345009;82798
1585;345009;85902
1586;321258;126
1587;321258;829
1588;321258;2912
1589;321258;18880
1590;321258;47729
1591;256961;5
1592;256961;2608
1593;256961;3045
1594;256961;7431
1595;256961;34034
1596;256961;46222
1597;8844;559
1598;8844;2550
1599;8844;10201
1600;47933;306
1601;47933;347
1602;47933;22213
1603;47933;86561
1604;37799;5
1605;37799;258
1606;37799;7295
1607;137116;5
1608;137116;2251
1609;137116;7311
1610;10193;2
1611;10193;3
1612;1734;33
1613;1734;11462
1614;1734;20242
1615;1124;6194
1616;1124;9195
1617;1124;9996
1618;256924;6831
1619;256924;33603
1620;9502;521
1621;16869;33
1622;16869;59
1623;16869;308
1624;16869;6817
1625;16869;6818
1626;9804;33
1627;9804;1073
1628;9804;1302
1629;9804;6092
1630;8009;2737
1631;8009;6179
1632;9487;2
1633;9487;3
1634;10693;6
1635;10693;3166
1636;241554;829
1637;241554;18617
1638;241554;41624
1639;136799;306
1640;136799;521
1641;1091;33
1642;1091;662
1643;381284;711
1644;381284;7076
1645;381284;83024
